date,expinf5yr,unrate,nrou,core_pce,mich,gdp,job_openings,median_cpi,FRB_exp,core_pce_changeA,unrate_slack,FRB_post1991,lagged_1,lagged_2,predicted_1980_2019,predicted_1970_2019
1988-11-01,4.1247181,5.3,5.8304524421691895,56.676,3.7,5399.509,NA,2.9566454722601603,4.266847826086956,4.864266835848641,-0.5304524421691896,NA,4.402451756845194,5.13266748607597,3.5446470537464903,4.797367405438024
1989-02-01,4.3268648,5.2,5.811267375946045,57.297,4.1,5511.253,NA,5.20947642461538,4.29,4.455368919590441,-0.6112673759460447,NA,4.864266835848641,4.402451756845194,3.5088641507587,4.7304270468625775
1989-05-01,4.3287558,5.2,5.791787,57.833,4.6,5612.463,NA,5.3880092744515595,4.34,3.794741416934433,-0.5917870000000001,NA,4.455368919590441,4.864266835848641,3.561326428576179,4.752588681812755
1989-08-01,3.732451,5.2,5.772135,58.217,3.5,5695.365,NA,2.8558736840948997,4.13,2.6824926030185603,-0.5721349999999994,NA,3.794741416934433,4.455368919590441,3.3487806268125646,4.283335772792311
1989-11-01,3.8128033,5.4,5.7524285316467285,58.787,3.5,5747.237,NA,4.1625237636602,3.905737704918033,3.974275841520547,-0.35242853164672816,NA,2.6824926030185603,3.794741416934433,3.060064763906171,3.5211717592031198
1990-02-01,4.132471,5.3,5.7327650000000006,59.468,4.1,5872.701,NA,4.981650393083201,3.655737704918033,4.714817251521608,-0.43276500000000073,NA,3.974275841520547,2.6824926030185603,2.882773468544962,3.5482744547857092
1990-05-01,4.2719379,5.4,5.713230609893799,60.115,3.4,5960.028,NA,3.9664938072334395,3.87,4.4234589393763235,-0.3132306098937985,NA,4.714817251521608,3.974275841520547,3.1993356475106176,4.348269053469085
1990-08-01,3.9608557,5.7,5.693902492523193,60.753,4.6,6015.116,NA,5.66560606341413,3.988032786885246,4.313257491776534,0.006097507476806818,NA,4.4234589393763235,4.714817251521608,3.318704090777009,4.499475122830107
1990-11-01,4.1871576,6.2,5.674851417541504,61.246,4.7,6004.733,NA,3.61399611524087,3.898360655737705,3.285654658305548,0.5251485824584963,NA,4.313257491776534,4.4234589393763235,3.206188376405662,4.259200574543824
1991-02-01,3.8019376,6.6,5.6561455726623535,61.807,3.4,6035.178,NA,4.3550241753906,3.912203389830509,3.7145618196955166,0.9438544273376461,NA,3.285654658305548,4.313257491776534,3.113790324139678,3.777743084222627
1991-05-01,3.8320852,6.9,5.6378379999999995,62.307,3.1,6126.862,NA,4.46850763239142,3.94,3.2753575596414786,1.262162000000001,NA,3.7145618196955166,3.285654658305548,3.0283619480778956,3.5431597111721773
1991-08-01,3.9151705,6.9,5.619961,62.804,3.2,6205.937,NA,3.08983246488028,3.68,3.229032144343358,1.2800390000000004,NA,3.2753575596414786,3.7145618196955166,2.899231970373146,3.4430810976201838
1991-11-01,3.5845422,7,5.6025339999999995,63.312,2.9,6264.54,NA,4.29177716897127,3.6,3.2749306430569503,1.3974660000000005,NA,3.229032144343358,3.2753575596414786,2.795490340482992,3.227759968628379
1992-02-01,3.572292,7.4,5.58557653427124,63.814,2.6,6363.102,NA,2.58885958946806,3.3,3.2095157292537646,1.8144234657287601,3.3,3.2749306430569503,3.229032144343358,2.606732937983924,3.0806791385902232
1992-05-01,3.6681125,7.6,5.569083999999999,64.273,2.9,6470.763,NA,2.80232154164044,3.5,2.908302365679738,2.0309160000000004,3.5,3.2095157292537646,3.2749306430569503,2.7123335156586137,3.108807589019988
1992-08-01,3.2935208,7.6,5.553058999999999,64.625,2.8,6566.641,NA,2.1172726558109902,3.35,2.2087174236950835,2.0469410000000003,3.35,2.908302365679738,3.2095157292537646,2.5983074625374614,2.9199757452768424
1992-11-01,3.3134226,7.4,5.537511,65.121,2.9,6680.803,NA,3.27594189784477,3.2,3.10554435340189,1.862489,3.2,2.2087174236950835,2.908302365679738,2.437554627048821,2.519094621494071
1993-02-01,3.1436628,7.1,5.522455,65.557,3.2,6729.459,NA,2.2966258694632598,3.1,2.705107455824751,1.5775449999999998,3.1,3.10554435340189,2.2087174236950835,2.3735996418902814,2.6161267712490637
1993-05-01,2.9599668,7.1,5.507904529571533,66.114,2.9,6808.939,NA,2.97550405217233,3.3,3.4421285670689583,1.5920954704284664,3.3,2.705107455824751,3.10554435340189,2.5619459669570652,2.845859752604256
1993-08-01,2.9558867,6.8,5.4938645362854,66.438,3.2,6882.098,NA,2.52892755090932,3.05,1.9747072940104582,1.3061354637145994,3.05,3.4421285670689583,2.705107455824751,2.436356022794324,2.9409656087221285
1993-11-01,2.8765847,6.6,5.48034143447876,66.819,2.8,7013.738,NA,3.6360647138418103,3.05,2.3136753758679074,1.1196585655212399,3.05,1.9747072940104582,3.4421285670689583,2.4271381503993332,2.6657125431232602
1994-02-01,2.9222979,6.6,5.467338562011719,67.047,2.8,7115.652,NA,3.6058143013175,3.05,1.37188302946063,1.132661437988281,3.05,2.3136753758679074,1.9747072940104582,2.281206154871879,2.268513052914738
1994-05-01,3.4494182,6.1,5.454845,67.526,3.1,7246.931,NA,2.90181334741006,3.1,2.888467074544998,0.6451549999999999,3.1,1.37188302946063,2.3136753758679074,2.3027671631597553,2.105909265556205
1994-08-01,3.4585097,6,5.442838,67.894,3.1,7331.075,NA,3.5187037719115697,3.1,2.197785788600015,0.5571619999999999,3.1,2.888467074544998,1.37188302946063,2.302678608553317,2.361066622096364
